title,author,book_length
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
$100M Leads,By: Alex Hormozi,Length: 6 hrs
Things We Left Behind,By: Lucy Score,Length: 19 hrs and 14 mins
The Way I Hate Him,By: Meghan Quinn,Length: 15 hrs and 4 mins
Tucker,By: Chadwick Moore,Length: 5 hrs and 47 mins
Dark Future,"By: Glenn Beck, Justin Trask Haskins",Length: 16 hrs and 5 mins
Jackson,By: Neven Iliev,Length: 18 hrs and 1 min
The Primal Hunter 6,By: Zogarth,Length: 20 hrs and 8 mins
Payback in Death,By: J. D. Robb,Length: 13 hrs and 54 mins
Iron Flame,By: Rebecca Yarros,Length: 14 hrs and 15 mins
The 32 Principles,"By: Rener Gracie, Paul Volponi, Jocko Willink - foreword",Length: 8 hrs and 18 mins
After That Night,By: Karin Slaughter,Length: 16 hrs and 34 mins
Forever Connected,By: Kathleen Brooks,Length: 7 hrs and 9 mins
The One I Want,By: Siobhan Davis,Length: 22 hrs and 52 mins
Happiness for Beginners,By: Katherine Center,Length: 9 hrs and 19 mins
Predator,By: Patricia Cornwell,Length: 11 hrs and 32 mins
Tempting Little Thief,By: Meagan Brandy,Length: 17 hrs and 22 mins
In Service of Death,By: JD Kirk,Length: 11 hrs and 19 mins
Fun House,By: Lani Lynn Vale,Length: 6 hrs and 6 mins
Second Chance Swordsman 2,By: Jakob Tanner,Length: 17 hrs and 4 mins
