title,author,book_length
3. None of This Is True,By: Lisa Jewell,Length: 10 hrs and 13 mins
19. Necessary Trouble,By: Drew Gilpin Faust,Length: 10 hrs and 16 mins
38. Gambler,By: Billy Walters,Length: 10 hrs and 56 mins
37. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
26. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
1. Tom Lake,By: Ann Patchett,Length: 11 hrs and 22 mins
100. Happy Place,By: Emily Henry,Length: 11 hrs and 3 mins
15. The Sister Effect,By: Susan Mallery,Length: 11 hrs and 43 mins
"33. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
8. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
49. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
39. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
98. Good Omens,"By: Neil Gaiman, Terry Pratchett",Length: 12 hrs and 14 mins
"46. Red, White & Royal Blue",By: Casey McQuiston,Length: 12 hrs and 15 mins
64. Dead Mountain,"By: Douglas Preston, Lincoln Child",Length: 12 hrs and 20 mins
48. The Heaven & Earth Grocery Store,By: James McBride,Length: 12 hrs and 21 mins
93. The Only One Left,By: Riley Sager,Length: 12 hrs and 32 mins
92. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
62. The Five-Star Weekend,By: Elin Hilderbrand,Length: 12 hrs and 45 mins
67. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
18. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
85. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
"68. Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
99. Iron Flame,By: Rebecca Yarros,Length: 14 hrs and 15 mins
72. Becoming Supernatural,By: Joe Dispenza,Length: 14 hrs and 6 mins
73. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
